InventoryID,Description,Live Description,Current ItemClass,Live ItemClass,Proposed ItemClass,Warehouses,QtyOnHand Status,Current Vendor,Proposed VendorID,Proposed VendorName,Vendor Confidence,Vendor Match Reason,Spreadsheet VendorID,API Status,AuditStatus
1234,Cartridge,Cartridge,APLS-LOT,APLS-LOT,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
DGC7880CTS,"VitroLine 30"" Xxl Combi Steam M-Touch - Clean Touch Steel","VitroLine 30"" Xxl Combi Steam M-Touch - Clean Touch Steel",APLS-LOT,APLS-LOT,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
H7880BPCTS,"VitroLine 30"" Single Oven M-Touch - Clean Touch Steel","VitroLine 30"" Single Oven M-Touch - Clean Touch Steel",APLS-LOT,APLS-LOT,APLS-RCVD,SALT LAKE APPLIANCES=0,ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
JAMES TEST 2,Item Description,Item Description,APLS-LOT,APLS-LOT,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
KM7745FL,"Miele 36"" Induction Cooktop Frameless - Black SKU 12074230","Miele 36"" Induction Cooktop Frameless - Black SKU 12074230",APLS-LOT,APLS-LOT,APLS-RCVD,SALT LAKE APPLIANCES=1,SKIP_QTY_ON_HAND,BA0000784 Miele,BA0000784,Miele,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000784.,,FOUND,SKIP_QTY_ON_HAND
RF170WDRX5 N,"32"" Bottom Mount Refrigerator Freezer, 17 Cu Ft, Stainless Steel, Non Ice & Water, Right Hinge, Counter Depth Contemporary","32"" Bottom Mount Refrigerator Freezer, 17 Cu Ft, Stainless Steel, Non Ice & Water, Right Hinge, Counter Depth Contemporary",APLS-LOT,APLS-LOT,APLS-RCVD,(no WarehouseDetails rows),ELIGIBLE,,,,NONE,No current VendorDetails row and no deterministic existing StockItem pattern met the audit threshold.,,FOUND,VENDOR_REVIEW_REQUIRED
CVA7845CTS,"Miele 24"" PureLine Coffee Plumbed MTouch (Clean Touch Steel) -SKU: 11733840","Miele 24"" PureLine Coffee Plumbed MTouch (Clean Touch Steel) -SKU: 11733840",APLS-RCVD,APLS-RCVD,,SALT LAKE SHOWROOM=1; BOISE WAREHOUSE=0; SALT LAKE APPLIANCES=0,SKIP_QTY_ON_HAND,BA0000784 Miele,BA0000784,Miele,HIGH,Current StockItem VendorDetails contains 2 vendor row(s); selected default active VendorID BA0000784.,,FOUND,SKIP_QTY_ON_HAND
DD24DCTX9 N,"Stainless Steel Double Dishdrawer, Full Size, Recessed Handle","Stainless Steel Double Dishdrawer, Full Size, Recessed Handle",APLS-RCVD,APLS-RCVD,,(no WarehouseDetails rows),ELIGIBLE,,BA0000773,Fisher & Paykel,HIGH,prefix DD24 maps to BA0000773 in 27/27 existing vendor-populated StockItems.,,FOUND,UNKNOWN_ITEM_CLASS
G5051SCVIACTIVE,"Miele 24"" Dishwasher ADA Panel Ready Top Control (Stainless Steel) -SKU: 11636710","Miele 24"" Dishwasher ADA Panel Ready Top Control (Stainless Steel) -SKU: 11636710",APLS-RCVD,APLS-RCVD,,BOISE WAREHOUSE=0,ELIGIBLE,BA0000784 Miele,BA0000784,Miele,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000784.,,FOUND,UNKNOWN_ITEM_CLASS
G5056SCVI,"Miele 24"" Dishwasher Top Control - Panel Ready","Miele 24"" Dishwasher Top Control - Panel Ready",APLS-RCVD,APLS-RCVD,,BOISE WAREHOUSE=2,SKIP_QTY_ON_HAND,BA0000784 Miele,BA0000784,Miele,HIGH,Current StockItem VendorDetails contains 1 vendor row(s); selected first active VendorID BA0000784.,,FOUND,SKIP_QTY_ON_HAND
