Token,Regex,Source,Classification,CandidateVendorID,CandidateVendorName,MatchingReviewItems,EvidenceVendorCounts,ActiveVendorAliasCandidates,SampleInventoryIDs,Reason
FAUCET,\bFAUCET\b,description-token,AMBIGUOUS,BA0000008,"Waterworks Operating Co., LLC",96,"BA0000008:Waterworks Operating Co., LLC:22; BA0000717:Duravit:8; BA0000005:Hansgrohe:6; BA0014832:Zip Water:2",,07-85449-61660; 07-97400-67866; 1200-5103-10; 1200-5103-15; 220-03/024; 22-7.1.3G-TICV-AB; 22-7.1.3PG2-TICV-AB; 22-9PG4-TIA-PT; 230-01/040; 25-9.3P1-IN14-SN; 3100-06; 3102XT-MBLK,Token FAUCET has multiple plausible vendors from existing StockItem evidence.
BALANCE,\bBALANCE\b,description-token,AMBIGUOUS,BA0000008,"Waterworks Operating Co., LLC",21,"BA0000008:Waterworks Operating Co., LLC:35; BA0000005:Hansgrohe:8",,36900670-99; 36-P80-NM-GM; 4-580/026; 501-22/008; 70-P80-RNK8-GM; F985TKPN; F985TKSB; FLPB30-N; TAA23BK; TAA51BN; TCP44W1ILULB; TMB23W1LMULB,Token BALANCE has multiple plausible vendors from existing StockItem evidence.
HENRY,\bHENRY\b,description-token,BUSINESS_RULE_APPROVAL,BA0000008,"Waterworks Operating Co., LLC",21,"BA0000008:Waterworks Operating Co., LLC:67",,05-24483-70890; 05-68735-43308; 09-75272-27186; CLS311-12DB; CLS314-12BBWA; CNCH12-DB; CNVC11-DB; CTH111-DB; CXT311-18DB; HN2T11-B; HN2T11-BUN; HN3T11-B,"Existing vendor-populated StockItems consistently map HENRY to BA0000008 in 67/67, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
METAL,\bMETAL\b,active-vendor-alias,AMBIGUOUS,BA0000008,"Waterworks Operating Co., LLC",19,"BA0000008:Waterworks Operating Co., LLC:35; BA0000760:Watermark:1; BA0000717:Duravit:1",BA0006470:Metal Men Inc.; BA0011602:METAL MORPHIC,22-0.1B-GM; 25-0.1-18DDP-GM; 36-2.2L-NM-GM; 36-HSHK3-GM; 36-P80-NM-GM; 36-T10-NM-GM; 36-WTR-NM-GM; 54611#707; 63361#707; 63506#707; 70-0.1-GM; 70-7.1.3PG2-RNK8V-GM,Token METAL has multiple plausible vendors from existing StockItem evidence.
MODERNE,\bMODERNE\b,description-token,AMBIGUOUS,BA0000749,Standard Plumbing Supply,18,"BA0000749:Standard Plumbing Supply:37; BA0003290:Hajoca Corporation:8; BA0000012:Alno, Inc.:6; BA0011918:Keller Supply Company:3; BA0000750:The Stock Market:1",,K-13690-2MB; K-26300-2MB; K-26369-2MB; K-31364-BGL; K-7213-2MB; K-72414-Y-2MB; K-7394-2MB; K-77967-2MB; K-77974-8-2MB; K-78377-2MB; K-78378-2MB; K-78382-2MB,Token MODERNE has multiple plausible vendors from existing StockItem evidence.
ICONA,\bICONA\b,description-token,BUSINESS_RULE_APPROVAL,BA0010852,"Fantini USA, Inc",18,"BA0010852:Fantini USA, Inc:23",,4400R119AU; 5395R080BU; 5395R107WU; 5395R891BU; 53P6R043U; 53P6R107WU; 53P6R119BU; 53P6R891BU; 53Q7R119BU; 86958147U; 86P68136UC; 8795R700BU,"Existing vendor-populated StockItems consistently map ICONA to BA0010852 in 23/23, but the vendor name does not directly contain the token; approve as brand/distributor rule before automation."
UNLACQUERED,\bUNLACQUERED\b,description-token,AMBIGUOUS,BA0000011,"Emtek Products Group, LLC",16,"BA0000011:Emtek Products Group, LLC:35; BA0000007:Rohl, LLC:15; BA0000643:Baldwin Hardware:14; BA0000649:Classic Brass:5; BA0000670:Kartners Bathroom Accessories:5; BA0000679:Omnia Industries:4",,0127DOFULB; 621249LF-ULBLHP; FV203/J1.0-UPB; FV248.02-UPB; GKIT7545LMULB-2; HLR048-ULB; MB01D1LMULB; T70848-ULB; TCP44W1ILULB; TMB23W1LMULB; V663-B-BG; V702-TLK-BG,Token UNLACQUERED has multiple plausible vendors from existing StockItem evidence.
STREET,\bSTREET\b,active-vendor-alias,AMBIGUOUS,BA0000006,California Faucets,15,BA0000006:California Faucets:45; BA0000700:Water Street Brass:34; BA0000804:Arrow Industries:1,BA0000700:Water Street Brass,5208-SN; 52-18-GRP; 52-9-ANF; 52-RH-ANF; 52-STP-ANF; TO-52-W-BTB; TO-PBL-53-ANF; TO-TH2L-52K-CB; TO-TH2L-53K-ANF; TO-THC1L-52-ANF; TO-THC2L-52-ANF; TO-V5201-7-SBZ,Token STREET has multiple plausible vendors from existing StockItem evidence.
ELONGATED,\bELONGATED\b,description-token,AMBIGUOUS,BA0000749,Standard Plumbing Supply,14,"BA0000749:Standard Plumbing Supply:16; BA0000008:Waterworks Operating Co., LLC:13; BA0000536:Southwest Plumbing Supply:12; BA0000717:Duravit:5; BA0003290:Hajoca Corporation:4; BA0011918:Keller Supply Company:3",,1200E4000; CST446CEMFGN#01; CWT4264726CMFG#MS; K-20197-0; K-28529-NY; K-30754-PA-0; K-44199-0; MW6424736CEFG#01; MW6424736CEFGA#01; MW6463446CEMFGN#01; MW6724736CEFG#01; MW6864726CEFG#01,Token ELONGATED has multiple plausible vendors from existing StockItem evidence.
GRAPHITE,\bGRAPHITE\b,description-token,AMBIGUOUS,BA0000006,California Faucets,13,"BA0000006:California Faucets:35; BA0000784:Miele:22; BA0000643:Baldwin Hardware:9; BA0000750:The Stock Market:8; BA0000712:Forte Brands, LLC:3; BA0000650:Colonial Bronze:2",,DGC7860AMGRG; DGC7880GRG; H7280BPGRG; 2845-GPH; 52-18-GRP; IWW-4-D-GT; K51-103-ST-GRP; K55-101-TG-GRP; SD-DHK-65-GRP; SH-061-30K.18-GRP; TO-PBL-41-GRP; TO-TH2L-39H-GRP,Token GRAPHITE has multiple plausible vendors from existing StockItem evidence.
